Dates,Tickers,Tenor,Data
20230117,EUSA2 BGN Curncy,2Y,3.089
20230117,EUSA20 BGN Curncy,20Y,2.4743
20230117,EUSA25 BGN Curncy,25Y,2.301
20230117,EUSA3 BGN Curncy,3Y,2.8802
20230117,EUSA30 BGN Curncy,30Y,2.145
20230117,EUSA35 BGN Curncy,35Y,2.0132
20230117,EUSA4 BGN Curncy,4Y,2.7568
20230117,EUSA40 BGN Curncy,40Y,1.903
20230117,EUSA45 BGN Curncy,45Y,1.798
20230117,EUSA5 BGN Curncy,5Y,2.6878
20230117,EUSA50 BGN Curncy,50Y,1.711
20230117,EUSA6 BGN Curncy,6Y,2.6463
20230117,EUSA7 BGN Curncy,7Y,2.6323
20230117,EUSA8 BGN Curncy,8Y,2.6287
20230117,EUSA9 BGN Curncy,9Y,2.6348
20230118,EUR006M Index,6M,2.832
20230118,EUSA1 BGN Curncy,1Y,3.1869
20230118,EUSA10 BGN Curncy,10Y,2.6025
20230118,EUSA11 BGN Curncy,11Y,2.6055
20230118,EUSA12 BGN Curncy,12Y,2.6087
20230118,EUSA15 BGN Curncy,15Y,2.585
20230118,EUSA1D BGN Curncy,1D,NaN
20230118,EUSA1F BGN Curncy,18M,3.1604
20230118,EUSA2 BGN Curncy,2Y,3.075
20230118,EUSA20 BGN Curncy,20Y,2.428
20230118,EUSA25 BGN Curncy,25Y,2.246
20230118,EUSA3 BGN Curncy,3Y,2.879
20230118,EUSA30 BGN Curncy,30Y,2.087
20230118,EUSA35 BGN Curncy,35Y,1.9563
20230118,EUSA4 BGN Curncy,4Y,2.7498
20230118,EUSA40 BGN Curncy,40Y,1.844
20230118,EUSA45 BGN Curncy,45Y,1.7443
20230118,EUSA5 BGN Curncy,5Y,2.672
20230118,EUSA50 BGN Curncy,50Y,1.6545
20230118,EUSA6 BGN Curncy,6Y,2.624
20230118,EUSA7 BGN Curncy,7Y,2.6017
20230118,EUSA8 BGN Curncy,8Y,2.5933
20230118,EUSA9 BGN Curncy,9Y,2.595
20230119,EUR006M Index,6M,2.857
20230119,EUSA1 BGN Curncy,1Y,3.2311
20230119,EUSA10 BGN Curncy,10Y,2.646
20230119,EUSA11 BGN Curncy,11Y,2.6498
20230119,EUSA12 BGN Curncy,12Y,2.6557
